Class Name (str),Class ID (int),Coarse Class Name (str),Price,Coarse Class ID (int),Iconic Image Path (str),Product Description Path (str)
Golden-Delicious,0,Apple,8.60 ,0,/iconic-images-and-descriptions/Fruit/Apple/Golden-Delicious/Golden-Delicious_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Apple/Golden-Delicious/Golden-Delicious_Description.txt
Granny-Smith,1,Apple,8.25 ,0,/iconic-images-and-descriptions/Fruit/Apple/Granny-Smith/Granny-Smith_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Apple/Granny-Smith/Granny-Smith_Description.txt
Pink-Lady,2,Apple,3.99 ,0,/iconic-images-and-descriptions/Fruit/Apple/Pink-Lady/Pink-Lady_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Apple/Pink-Lady/Pink-Lady_Description.txt
Red-Delicious,3,Apple,0.46 ,0,/iconic-images-and-descriptions/Fruit/Apple/Red-Delicious/Red-Delicious_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Apple/Red-Delicious/Red-Delicious_Description.txt
Royal-Gala,4,Apple,6.29 ,0,/iconic-images-and-descriptions/Fruit/Apple/Royal-Gala/Royal-Gala_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Apple/Royal-Gala/Royal-Gala_Description.txt
Avocado,5,Avocado,0.36 ,1,/iconic-images-and-descriptions/Fruit/Avocado/Avocado_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Avocado/Avocado_Description.txt
Banana,6,Banana,8.66 ,2,/iconic-images-and-descriptions/Fruit/Banana/Banana_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Banana/Banana_Description.txt
Kiwi,7,Kiwi,7.07 ,3,/iconic-images-and-descriptions/Fruit/Kiwi/Kiwi_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Kiwi/Kiwi_Description.txt
Lemon,8,Lemon,8.34 ,4,/iconic-images-and-descriptions/Fruit/Lemon/Lemon_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Lemon/Lemon_Description.txt
Lime,9,Lime,5.46 ,5,/iconic-images-and-descriptions/Fruit/Lime/Lime_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Lime/Lime_Description.txt
Mango,10,Mango,3.49 ,6,/iconic-images-and-descriptions/Fruit/Mango/Mango_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Mango/Mango_Description.txt
Cantaloupe,11,Melon,0.28 ,7,/iconic-images-and-descriptions/Fruit/Melon/Cantaloupe/Cantaloupe_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Melon/Cantaloupe/Cantaloupe_Description.txt
Galia-Melon,12,Melon,4.90 ,7,/iconic-images-and-descriptions/Fruit/Melon/Galia-Melon/Galia-Melon_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Melon/Galia-Melon/Galia-Melon_Description.txt
Honeydew-Melon,13,Melon,9.50 ,7,/iconic-images-and-descriptions/Fruit/Melon/Honeydew-Melon/Honeydew-Melon_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Melon/Honeydew-Melon/Honeydew-Melon_Description.txt
Watermelon,14,Melon,5.09 ,7,/iconic-images-and-descriptions/Fruit/Melon/Watermelon/Watermelon_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Melon/Watermelon/Watermelon_Description.txt
Nectarine,15,Nectarine,4.09 ,8,/iconic-images-and-descriptions/Fruit/Nectarine/Nectarine_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Nectarine/Nectarine_Description.txt
Orange,16,Orange,3.07 ,9,/iconic-images-and-descriptions/Fruit/Orange/Orange_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Orange/Orange_Description.txt
Papaya,17,Papaya,7.97 ,10,/iconic-images-and-descriptions/Fruit/Papaya/Papaya_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Papaya/Papaya_Description.txt
Passion-Fruit,18,Passion-Fruit,7.87 ,11,/iconic-images-and-descriptions/Fruit/Passion-Fruit/Passion-Fruit_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Passion-Fruit/Passion-Fruit_Description.txt
Peach,19,Peach,0.93 ,12,/iconic-images-and-descriptions/Fruit/Peach/Peach_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Peach/Peach_Description.txt
Anjou,20,Pear,8.53 ,13,/iconic-images-and-descriptions/Fruit/Pear/Anjou/Anjou_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Pear/Anjou/Anjou_Description.txt
Conference,21,Pear,0.40 ,13,/iconic-images-and-descriptions/Fruit/Pear/Conference/Conference_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Pear/Conference/Conference_Description.txt
Kaiser,22,Pear,1.69 ,13,/iconic-images-and-descriptions/Fruit/Pear/Kaiser/Kaiser_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Pear/Kaiser/Kaiser_Description.txt
Pineapple,23,Pineapple,3.76 ,14,/iconic-images-and-descriptions/Fruit/Pineapple/Pineapple_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Pineapple/Pineapple_Description.txt
Plum,24,Plum,10.84 ,15,/iconic-images-and-descriptions/Fruit/Plum/Plum_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Plum/Plum_Description.txt
Pomegranate,25,Pomegranate,6.94 ,16,/iconic-images-and-descriptions/Fruit/Pomegranate/Pomegranate_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Pomegranate/Pomegranate_Description.txt
Red-Grapefruit,26,Red-Grapefruit,6.64 ,17,/iconic-images-and-descriptions/Fruit/Red-Grapefruit/Red-Grapefruit_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Red-Grapefruit/Red-Grapefruit_Description.txt
Satsumas,27,Satsumas,4.86 ,18,/iconic-images-and-descriptions/Fruit/Satsumas/Satsumas_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Satsumas/Satsumas_Description.txt
